Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Trade count long,Trade count short,Max drawdown,Max drawdown percent,Objective,buy_rsi,sell_rsi,roi_t1,roi_t2,roi_t3,roi_p1,roi_p2,roi_p3,stoploss,trailing_stop,trailing_stop_positive,trailing_stop_positive_offset_p1,trailing_only_offset_is_reached
,88,472,-0.24%,0.005202293963919841,-0.24478409,EUR,-244.78,17:11:00,472,0,268.05712148000015,26.20%,"1,298.39700",44,66,284,393,210,0.068,0.136,0.193,-0.079,True,0.008,0.015,True
,89,4,-1.93%,-1.4446462357743326,-0.01867248,EUR,-18.67,23:00:00,4,0,30.422116029999998,3.02%,116.00000,25,67,1115,155,316,0.025,0.126,0.11599999999999999,-0.07600000000000001,True,0.012,0.028999999999999998,True
,90,4,-1.73%,-2.687328305035924,-0.01674234,EUR,-16.74,"1 day, 5:45:00",4,0,27.0732961,2.68%,116.00000,25,67,937,415,282,0.057,0.136,0.147,-0.057,True,0.006,0.042,True
,91,12,-3.26%,-3.870346553121326,-0.09021458,EUR,-90.21,"1 day, 7:55:00",12,0,95.23943243000001,9.48%,108.00000,28,85,1119,155,444,0.057,0.055,0.29200000000000004,-0.091,True,0.015,0.042,True
,92,12,-3.29%,-3.870346550988478,-0.09114093,EUR,-91.14,"1 day, 8:30:00",12,0,95.13822375999999,9.48%,108.00000,28,72,1155,415,282,0.037,0.086,0.451,-0.091,True,0.012,0.048,True
,93,12,-1.32%,-2.588304629586184,-0.03729049,EUR,-37.29,16:15:00,12,0,50.6930026,5.00%,108.00000,28,67,1226,508,201,0.057,0.121,0.143,-0.024000000000000007,True,0.022000000000000002,0.043000000000000003,True
,94,12,-2.71%,-3.870346553496983,-0.07559030,EUR,-75.59,"1 day, 7:20:00",12,0,86.70325441,8.59%,108.00000,28,71,1226,508,201,0.057,0.136,0.394,-0.060000000000000005,True,0.015,0.048,True
,95,2,0.89%,0.8858636673990447,0.00414611,EUR,4.15,18:00:00,2,0,6.150204,0.61%,118.00000,24,66,442,405,439,0.068,0.1,0.143,-0.024000000000000007,True,0.018000000000000002,0.035,True
,96,120,-0.20%,0.00018685568811535036,-0.06349959,EUR,-63.50,"1 day, 2:35:00",120,0,172.17189621999998,17.21%,"46,729.36556",35,72,533,349,444,0.057,0.1,0.29200000000000004,-0.099,True,0.016,0.042,True
,97,25,-1.35%,5.298716472529688e-07,-0.07846000,EUR,-78.46,20:22:00,25,0,79.74119050999998,7.97%,"14,495.89582",29,71,533,197,150,0.08499999999999999,0.086,0.451,-0.08800000000000001,True,0.025,0.028999999999999998,True
,98,26,-0.40%,-8.41663197072641e-05,-0.02462711,EUR,-24.63,15:48:00,26,0,44.59982719,4.39%,378.36107,29,72,984,197,284,0.049,0.086,0.248,-0.02500000000000001,True,0.025,0.025,True
,99,2,2.31%,2.3142814907704525,0.01103188,EUR,11.03,2:30:00,2,0,0.0,0.00%,118.00000,24,71,1119,134,121,0.025,0.11599999999999999,0.238,-0.07600000000000001,True,0.006,0.019000000000000003,True
,100,11,-2.75%,-1.2024464485064301e-05,-0.07039894,EUR,-70.40,"1 day, 1:44:00",11,0,75.58080316,7.52%,109.00000,27,61,228,498,350,0.041999999999999996,0.1,0.143,-0.082,True,0.025,0.028999999999999998,True
,101,2,0.68%,0.6816443061748308,0.00324282,EUR,3.24,11:00:00,2,0,0.0,0.00%,118.00000,24,66,284,134,210,0.068,0.1,0.29200000000000004,-0.08600000000000001,True,0.012,0.028999999999999998,True
,102,12,-2.64%,-1.6370635958173676e-05,-0.07363534,EUR,-73.64,"1 day, 2:40:00",12,0,77.7986589,7.75%,108.00000,28,67,425,415,282,0.057,0.136,0.451,-0.091,True,0.012,0.048,True
,103,4,-1.42%,-2.5646807273853245,-0.01349173,EUR,-13.49,20:45:00,4,0,18.375144810000002,1.83%,116.00000,25,85,1226,155,348,0.057,0.136,0.394,-0.024000000000000007,True,0.006,0.042,True
,104,4,-0.67%,-2.5646807273853245,-0.00654629,EUR,-6.55,21:45:00,4,0,18.50582959,1.83%,116.00000,25,85,1226,508,201,0.057,0.121,0.394,-0.024000000000000007,True,0.018000000000000002,0.048,True
,105,4,-0.40%,-0.46553010996174277,-0.00388625,EUR,-3.89,15:30:00,4,0,13.34600144,1.33%,116.00000,25,67,1115,349,287,0.045,0.1,0.29200000000000004,-0.02600000000000001,True,0.012,0.017,True
,106,25,-0.73%,2.028280698048536e-06,-0.04385525,EUR,-43.86,22:22:00,25,0,70.39512887000001,6.94%,593.19437,29,73,937,134,282,0.037,0.136,0.451,-0.061000000000000006,True,0.012,0.048,True
,107,4,-2.02%,-1.6112279879305154,-0.01954852,EUR,-19.55,18:30:00,4,0,30.402809249999997,3.02%,116.00000,25,67,1119,155,316,0.025,0.055,0.11599999999999999,-0.07600000000000001,True,0.006,0.019000000000000003,True
,108,11,-1.22%,-2.7900798485524025,-0.03157953,EUR,-31.58,14:11:00,11,0,41.87582788,4.14%,109.00000,27,67,675,349,287,0.062,0.1,0.095,-0.02600000000000001,True,0.025,0.034,True
,109,37,-0.51%,1.9182153837665402e-05,-0.04589081,EUR,-45.89,20:41:00,37,0,75.2403153,7.52%,"11,398.79123",30,72,425,241,325,0.037,0.086,0.339,-0.091,True,0.012,0.048,True
,110,4,-1.20%,0.007565453478462947,-0.01156098,EUR,-11.56,"1 day, 0:30:00",4,0,17.53845926,1.74%,116.00000,25,66,284,405,439,0.025,0.11199999999999999,0.143,-0.07600000000000001,True,0.018000000000000002,0.043000000000000003,True
,111,12,-1.24%,-2.5883046300034622,-0.03516363,EUR,-35.16,16:20:00,12,0,50.81061013,5.00%,108.00000,28,67,1226,508,439,0.052000000000000005,0.062,0.143,-0.024000000000000007,True,0.022000000000000002,0.043000000000000003,True
,112,4,-2.52%,-2.6873283046178043,-0.02412106,EUR,-24.12,"1 day, 7:30:00",4,0,30.433535629999998,3.02%,116.00000,25,85,1138,323,121,0.07200000000000001,0.03,0.239,-0.082,True,0.028,0.034,True
,113,11,-1.08%,-2.5944967875781315,-0.02848009,EUR,-28.48,18:00:00,11,0,55.5646031,5.41%,109.00000,27,71,1226,405,439,0.057,0.136,0.394,-0.024000000000000007,True,0.015,0.048,True
,114,12,-2.49%,-2.2690920846531117,-0.07006847,EUR,-70.07,"1 day, 6:55:00",12,0,88.99807003000001,8.78%,108.00000,28,67,1264,508,201,0.057,0.121,0.143,-0.091,True,0.015,0.048,True
,115,12,-2.45%,-3.7541645706791775,-0.06907516,EUR,-69.08,"1 day, 5:45:00",12,0,91.30600887999998,9.03%,108.00000,28,61,1439,691,350,0.07200000000000001,0.136,0.147,-0.082,True,0.006,0.028999999999999998,True
,116,12,-2.72%,-2.2690920834681454,-0.07611861,EUR,-76.12,"1 day, 5:50:00",12,0,89.01183807999999,8.82%,108.00000,28,67,937,415,282,0.057,0.136,0.451,-0.093,True,0.012,0.048,True
